1,1,558.78,123.47,43.58,37.29,0.76641
1,2,543.07,86.583,35.97,30.887,0.57193
1,3,506.47,68.234,26.15,23.956,0.55958
1,4,735.43,114.66,47.16,40.18,0.43059
1,5,588.09,369.67,144.69,171.33,0.41521
1,6,552.57,63.836,27.83,28.195,0.25997
1,7,546.1,41.062,25.02,26.191,0.18534
1,8,894.19,266.38,58,102.71,0.12533
1,9,292.16,284.98,27.67,44.19,0.068085
1,10,547.78,52.966,31.7,30.013,0.066968
1,11,545.83,77.122,34.95,29.088,0.060839
1,12,851.63,96.298,34.83,30.442,0.056306
1,13,95.192,220.19,90.678,71.55,0.016589
1,14,352.63,240.54,27.86,57.13,0.0068732
2,1,559.79,121.99,45.08,41.71,0.7862
2,2,543.6,85.888,34.48,33.192,0.5433
2,3,508.02,67.562,25.57,25.142,0.52378
2,4,734.17,113.93,45.74,38.12,0.45982
2,5,590.62,372.02,146.88,168.23,0.33676
2,6,550.98,64.579,30.76,27.932,0.2575
2,7,881.75,245.04,79.25,107.83,0.21807
2,8,545.44,38.725,24.73,26.44,0.11336
2,9,846.96,97.416,41.15,29.764,0.078389
2,10,551.27,54.614,27.89,29.256,0.07745
2,11,225.1,210.74,145.91,84.07,0.040831
2,12,546.42,75.291,34.2,30.429,0.040055
2,13,295.07,253.85,54.07,104.78,0.023597
3,1,560.21,123.34,44.89,41.23,0.78491
3,2,543.97,86.391,34.82,33.679,0.60961
3,3,506.95,68.748,25.99,24.377,0.59389
3,4,730.75,111,47.86,39.2,0.43063
3,5,553.22,67.494,30.15,28.192,0.29627
3,6,590.21,382.78,159.01,158.22,0.25285
3,7,873.5,236.56,87.5,113.48,0.20529
3,8,553.2,55.943,25.23,27.475,0.18458
3,9,545.94,41.449,25.15,26.548,0.093312
3,10,544.12,75.742,36.87,28.658,0.076588
3,11,296.91,256.96,50.79,90.04,0.054381
3,12,845.33,96.293,42.54,30.947,0.049504
3,13,161.05,253.01,28.18,33.97,0.047049
3,14,535.1,100.17,60.75,56.48,0.039413
3,15,99.205,224.57,80.375,51.87,0.0081423
4,1,558.79,125.37,46.51,40.56,0.75394
4,2,506.57,69.01,26.16,24.598,0.57433
4,3,544.3,86.608,35.14,33.492,0.56671
4,4,730.04,110.31,46.54,37.44,0.49013
4,5,553.85,64.753,28.42,29.838,0.29298
4,6,553,56.111,25.21,27.421,0.20286
4,7,873.36,224.31,87.64,86.98,0.20009
4,8,609.09,415.11,134.16,125.89,0.16201
4,9,545.42,38.826,25.02,26.486,0.14448
4,10,819.03,65.238,59.09,51.802,0.10642
4,11,544.55,77.349,38.24,28.131,0.10381
4,12,295.49,256.31,51.66,89.86,0.066587
4,13,852.89,94.833,76.33,34.457,0.039772
5,1,559.58,125.86,46.92,39.93,0.7457
5,2,506.08,69.583,27.15,24.241,0.56445
5,3,543.4,89.07,35.86,31.76,0.53111
5,4,727.36,108.02,47.16,38.55,0.42947
5,5,552.56,65.732,30.15,28.206,0.35142
5,6,865.42,217.64,95.58,92.66,0.26474
5,7,553,55.054,25.05,26.131,0.17655
5,8,545.16,42.147,27.83,26.583,0.1617
5,9,545.15,77.397,36.38,32.803,0.11357
5,10,608.78,426.85,136.54,114.15,0.11182
5,11,846.26,94.89,41.44,31.8,0.072165
5,12,157.39,254.49,31.25,37.57,0.055945
5,13,293.83,251.09,55.47,104.16,0.05157
5,14,820.64,63.815,57.38,53.205,0.051178
5,15,885.21,254.67,75.79,85.38,0.044823
5,16,220.96,229.77,131.71,59.52,0.023722
5,17,94.171,211.51,91.809,67.8,0.012869
6,1,560.45,127.29,47.51,41.71,0.80978
6,2,507.44,69.744,25.97,24.8,0.59224
6,3,544.82,89.588,35.78,32.642,0.55545
6,4,728.18,107.48,43.97,37.09,0.43307
6,5,553.38,65.234,30.18,29.304,0.32483
6,6,864.02,214.95,96.98,86.18,0.30124
6,7,545.4,42.516,27.6,26.631,0.14832
6,8,553.46,55.093,25.33,25.628,0.11564
6,9,846.73,94.229,41.39,32.651,0.10479
6,10,158.33,255.27,27.69,35.01,0.050893
6,11,551.43,78.008,30.37,25.602,0.048844
